metric,local_hour,n_servers,weight_col,weight_sum,total_phases,weighted_density,weighted_sd_density,weighted_sem_density,kappa,min_phases
PC1,18.2,8,n_phases,1734.0,1734,0.041952157129006115,0.005168569203830622,0.002462233838976849,4.0,20
PC1,18.3,8,n_phases,1734.0,1734,0.042398090992895945,0.0049343418762821615,0.0023506512270084334,4.0,20
PC1,18.400000000000002,8,n_phases,1734.0,1734,0.042842128878626824,0.004710719390349217,0.002244120612769556,4.0,20
PC1,18.5,8,n_phases,1734.0,1734,0.04328369021557588,0.0045021008809256295,0.002144737682391267,4.0,20
PC1,18.6,8,n_phases,1734.0,1734,0.043722203863888205,0.0043131643305970475,0.002054730961131967,4.0,20
PC1,18.7,8,n_phases,1734.0,1734,0.044157109548559746,0.004148684570917871,0.0019763751117397024,4.0,20
PC1,18.8,8,n_phases,1734.0,1734,0.04458785907102212,0.004013246318815012,0.001911854229021835,4.0,20
PC1,18.900000000000002,8,n_phases,1734.0,1734,0.04501391726380721,0.0039108561443493926,0.0018630769867318132,4.0,20
PC1,19.0,8,n_phases,1734.0,1734,0.04543476265456728,0.0038444978487743348,0.0018314648259155004,4.0,20
PC1,19.1,8,n_phases,1734.0,1734,0.04584988780830105,0.0038157218814764042,0.0018177563589034415,4.0,20
PC1,19.200000000000003,8,n_phases,1734.0,1734,0.046258799321352295,0.0038243832442006473,0.0018218825105617144,4.0,20
PC1,19.3,8,n_phases,1734.0,1734,0.04666101744774947,0.0038686165122002168,0.0018429546187181366,4.0,20
PC1,19.400000000000002,8,n_phases,1734.0,1734,0.047056075347756555,0.003945062422498235,0.0018793723776305386,4.0,20
PC1,19.5,8,n_phases,1734.0,1734,0.047443517959972106,0.004049276735142733,0.0019290186137511309,4.0,20
PC1,19.6,8,n_phases,1734.0,1734,0.04782290051166145,0.004176206131488715,0.0019894859969898718,4.0,20
PC1,19.700000000000003,8,n_phases,1734.0,1734,0.04819378669680566,0.004320624921734123,0.0020582850820563543,4.0,20
PC1,19.8,8,n_phases,1734.0,1734,0.04855574656704531,0.004477470387239757,0.0021330040608352058,4.0,20
PC1,19.900000000000002,8,n_phases,1734.0,1734,0.04890835419661738,0.004642061811661389,0.0022114131057438024,4.0,20
PC1,20.0,8,n_phases,1734.0,1734,0.04925118519779017,0.0048102190810938245,0.0022915208691765966,4.0,20
PC1,20.1,8,n_phases,1734.0,1734,0.049583814177409424,0.00497830854557505,0.002371596331282131,4.0,20
PC1,20.200000000000003,8,n_phases,1734.0,1734,0.04990581223719308,0.005143243006278822,0.0024501687938617636,4.0,20
PC1,20.3,8,n_phases,1734.0,1734,0.05021674462961006,0.005302456471500927,0.002526015854475771,4.0,20
PC1,20.400000000000002,8,n_phases,1734.0,1734,0.05051616868688697,0.0054538673791888455,0.002598145886172568,4.0,20
PC1,20.5,8,n_phases,1734.0,1734,0.05080363214236297,0.005595838344105394,0.002665778861602334,4.0,20
PC1,20.6,8,n_phases,1734.0,1734,0.051078671960671965,0.005727136581483659,0.0027283274994015874,4.0,20
PC1,20.700000000000003,8,n_phases,1734.0,1734,0.05134081378586048,0.0058468967291274605,0.0027853795531635624,4.0,20
PC1,20.8,8,n_phases,1734.0,1734,0.05158957210454388,0.005954586413041482,0.002836681407387611,4.0,20
PC1,20.900000000000002,8,n_phases,1734.0,1734,0.05182445120475708,0.0060499742033699976,0.002882122812138084,4.0,20
PC1,21.0,8,n_phases,1734.0,1734,0.05204494699067155,0.006133099317348931,0.0029217224499558476,4.0,20
PC1,21.1,8,n_phases,1734.0,1734,0.052250549689426384,0.0062042423692566665,0.002955614001545306,4.0,20
PC1,21.200000000000003,8,n_phases,1734.0,1734,0.052440747459719855,0.0062638965390155775,0.002984032410900762,4.0,20
PC1,21.3,8,n_phases,1734.0,1734,0.05261503088344473,0.006312738671823958,0.0030073001175766182,4.0,20
PC1,21.400000000000002,8,n_phases,1734.0,1734,0.052772898292531574,0.0063515999990760115,0.003025813108544533,4.0,20
PC1,21.5,8,n_phases,1734.0,1734,0.05291386185436966,0.00638143636892992,0.003040026736453796,4.0,20
PC1,21.6,8,n_phases,1734.0,1734,0.0530374543117873,0.006403298083144129,0.003050441350323408,4.0,20
PC1,21.700000000000003,8,n_phases,1734.0,1734,0.05314323624865282,0.006418299646817335,0.0030575878847427128,4.0,20
PC1,21.8,8,n_phases,1734.0,1734,0.053230803730675534,0.006427589939506553,0.0030620136498106234,4.0,20
PC1,21.900000000000002,8,n_phases,1734.0,1734,0.05329979615380053,0.006432323496775242,0.0030642686500681536,4.0,20
PC1,22.0,8,n_phases,1734.0,1734,0.05334990412039216,0.006433633734076998,0.003064892828732354,4.0,20
PC1,22.1,8,n_phases,1734.0,1734,0.053380877156695164,0.0064326090313601755,0.0030644046747375538,4.0,20
PC1,22.200000000000003,8,n_phases,1734.0,1734,0.053392531084139154,0.006430272608546897,0.0030632916356959656,4.0,20
PC1,22.3,8,n_phases,1734.0,1734,0.053384754861977815,0.006427567044572484,0.003062002742985314,4.0,20
PC1,22.400000000000002,8,n_phases,1734.0,1734,0.053357516729369676,0.0064253441190996845,0.00306094377248404,4.0,20
PC1,22.5,8,n_phases,1734.0,1734,0.053310869490931466,0.006424360390378181,0.003060475137925628,4.0,20
PC1,22.6,8,n_phases,1734.0,1734,0.05324495481044553,0.006425278581578338,0.003060912551328548,4.0,20
